longitude,latitude,h_over_geoid,gravity_anomaly,gnss_site,gnss_latitude_deg,gnss_longitude_deg,gnss_height_m,gnss_east_m,gnss_north_m,gnss_up_m,gnss_sig_e_m,gnss_sig_n_m,gnss_sig_u_m,gnss_corr_en,gnss_corr_eu,gnss_corr_nu,gnss_ant_m,gnss_n_dias,gnss_fecha_ini,gnss_fecha_fin,dist_gnss_km
-74.01000000,5.92000000,951.68000000,65.05856744,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,77.54530000
-73.96000000,5.92000000,1928.48000000,63.59639234,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,78.85300000
-73.91000000,5.92000000,2587.76000000,62.21445612,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,74.28790000
-73.86000000,5.92000000,2845.48000000,60.92893319,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,69.86250000
-73.81000000,5.92000000,2496.28000000,59.78706189,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,65.60540000
-73.76000000,5.92000000,1834.40000000,58.69489932,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,61.55140000
-73.71000000,5.92000000,1810.52000000,57.39734976,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,57.74320000
-73.66000000,5.92000000,1847.08000000,56.05883387,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,54.23280000
-73.61000000,5.92000000,1627.56000000,54.75889057,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,51.08140000
-73.56000000,5.92000000,1943.48000000,53.30904604,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,48.35940000
-73.51000000,5.92000000,1745.36000000,51.95823085,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,46.14290000
-73.46000000,5.92000000,2392.12000000,50.40786159,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,44.50730000
-73.41000000,5.92000000,2393.40000000,48.98205549,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,43.51840000
-73.36000000,5.92000000,1984.36000000,47.61778656,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,43.22030000
-73.31000000,5.92000000,2257.48000000,46.11038667,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,43.62740000
